n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,hold_days
21,3.662616154395997,0.2857142857142857,-27.762915698620038,-59.12843029637637,182.23855640024405,544.3565837536961,-216.98109810981035,-5.979892621280691,-7.40834262583876,-0.2915550117109371,-0.6981270331300415,multi_day_h1_SPX_IM_thr0.020,multi_day,SPX,IM,0.02,1
21,3.662616154395997,0.47619047619047616,33.421582741412266,-1.1474818897090286,300.8784077347848,620.7254038179149,-520.320987654322,6.302304541158521,-12.026695369492103,0.21258454800348545,0.5090326484735808,multi_day_h3_SPX_IM_thr0.020,multi_day,SPX,IM,0.02,3
21,3.662616154395997,0.5238095238095238,-17.18095896797631,29.31250000000097,335.88272652669974,612.5022026431719,-752.4324917672883,-4.637443937008334,-14.327458656350512,-0.09789385565918828,-0.23440635306508747,multi_day_h5_SPX_IM_thr0.020,multi_day,SPX,IM,0.02,5
10,1.7441029306647604,0.3,-33.67191292954785,-130.50154001212633,247.15534002084098,544.3565837536961,-216.98109810981035,-3.577996939526662,-4.334920020867672,-0.1799218249107613,-0.4308219196205319,naive_short_SPX_IM_thr0.025,naive_short,SPX,IM,0.025,1
10,1.7441029306647604,0.7,21.671912929547844,118.50154001212633,247.155340020841,204.98109810981038,-556.3565837536961,1.9024740886408376,-5.563565837536966,0.11580126533796337,0.2772855569474829,bounce_long_SPX_IM_thr0.025,bounce_long,SPX,IM,0.025,1
11,1.9185132237312366,0.36363636363636365,-20.784399435769014,-15.014423076922904,133.10635879061334,221.94117647058854,-269.12407633489744,-2.3496980851954397,-3.6724873181508078,-0.2162823478524301,-0.5178870119177322,fade_short_SPX_IM_thr0.025,fade_short,SPX,IM,0.025,1
10,1.7441029306647604,0.3,-33.67191292954785,-130.50154001212633,247.15534002084098,544.3565837536961,-216.98109810981035,-3.577996939526662,-4.334920020867672,-0.1799218249107613,-0.4308219196205319,multi_day_h1_SPX_IM_thr0.025,multi_day,SPX,IM,0.025,1
10,1.7441029306647604,0.5,62.08988582218053,-40.236786718432334,322.86449003352527,620.7254038179149,-342.9782843061753,5.8994930372000765,-4.238630347223893,0.2539724654917572,0.6081358121405638,multi_day_h3_SPX_IM_thr0.025,multi_day,SPX,IM,0.025,3
10,1.7441029306647604,0.6,12.628150599918834,116.94444602459932,320.6856335958382,612.5022026431719,-490.1871406168319,0.804644710389657,-7.745401645140104,0.052005144096119615,0.12452606025280798,multi_day_h5_SPX_IM_thr0.025,multi_day,SPX,IM,0.025,5
481,34.40750513046027,0.4802494802494803,-4.296705941228653,-3.329059829059838,124.96817034256624,853.8562628336758,-404.9614885331028,-21.65261851245527,-34.94376323189721,-0.20167999070688156,-0.7540649579042819,naive_short_SPX_IH_thr0.005,naive_short,SPX,IH,0.005,1
481,34.40750513046027,0.4594594594594595,-7.703294058771363,-8.670940170940161,124.96817034256625,392.96148853310274,-865.8562628336759,-33.53348458954846,-35.893501479423016,-0.36157938091083996,-1.3519156743807086,bounce_long_SPX_IH_thr0.005,bounce_long,SPX,IH,0.005,1
655,46.85429492817355,0.5099236641221374,1.3014559309421736,1.3969470782053741,105.30584753938692,536.177258478198,-663.6475009394956,5.01902029047987,-16.094886417964805,0.084596361137202,0.31629886175715205,fade_short_SPX_IH_thr0.005,fade_short,SPX,IH,0.005,1
481,34.40750513046027,0.4802494802494803,-4.296705941228653,-3.329059829059838,124.96817034256624,853.8562628336758,-404.9614885331028,-21.65261851245527,-34.94376323189721,-0.20167999070688156,-0.7540649579042819,multi_day_h1_SPX_IH_thr0.005,multi_day,SPX,IH,0.005,1
481,34.40750513046027,0.5072765072765073,9.36747309769923,3.7717997355872837,204.66551964279992,1170.2063655030806,-649.3121019108268,42.008546231642896,-24.919711381409073,0.26847531691375776,1.003807208822941,multi_day_h3_SPX_IH_thr0.005,multi_day,SPX,IH,0.005,3
481,34.40750513046027,0.4885654885654886,9.498595583708001,-4.812633578721964,273.9344322821129,1271.5924024640663,-854.2388552559183,32.12044510014827,-50.490634692491746,0.20339457472940076,0.7604756470570961,multi_day_h5_SPX_IH_thr0.005,multi_day,SPX,IH,0.005,5
250,17.8833186748754,0.448,-8.611895212875059,-11.493352505587799,121.98059382884304,531.984496124032,-357.7587939698497,-20.85610676145019,-29.02023177027272,-0.29856029511003973,-1.1162924768835791,naive_short_SPX_IH_thr0.010,naive_short,SPX,IH,0.01,1
250,17.8833186748754,0.496,-3.3881047871249486,-0.5066474944121987,121.98059382884307,345.75879396984965,-543.9844961240321,-9.815353047731723,-19.207814855846973,-0.11746004103666496,-0.43917346777587773,bounce_long_SPX_IH_thr0.010,bounce_long,SPX,IH,0.01,1
309,22.103781882146,0.5307443365695793,8.73158950486761,5.732229123533334,101.71824568649316,420.7241379310349,-460.1420118343198,28.8924212374833,-8.766796077275508,0.4035782399376907,1.5089459665435963,fade_short_SPX_IH_thr0.010,fade_short,SPX,IH,0.01,1
250,17.8833186748754,0.448,-8.611895212875059,-11.493352505587799,121.98059382884304,531.984496124032,-357.7587939698497,-20.85610676145019,-29.02023177027272,-0.29856029511003973,-1.1162924768835791,multi_day_h1_SPX_IH_thr0.010,multi_day,SPX,IH,0.01,1
